date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-27 23:33:09,elpachicoruiz,,0,78,14,"27Mar Bendiciones que tengan una Feliz Noche Ya Sabes Quédate en Casa y Toma las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @sophi8432 @josemar35657504",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @Sophi8432 @josemar35657504,#EnBatallaHeroica,1243682502990090240,https://twitter.com/elpachicoruiz/status/1243682502990090240
2020-03-27 23:15:08,elpachicoruiz,,0,57,4,"27Mar Feliz Noche Con Mucha Energía a Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @sophi8432 @josemar35657504",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @Sophi8432 @josemar35657504,#EnBatallaHeroica,1243677967345233921,https://twitter.com/elpachicoruiz/status/1243677967345233921
2020-03-27 22:29:11,elpachicoruiz,,0,101,11,"27Mar Feliz y Grandiosa Tarde Camaradas y Tuiteros vamos a Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @AndryRivero20D @ladysuarez11",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @AndryRivero20D @ladysuarez11,#EnBatallaHeroica,1243666403573608450,https://twitter.com/elpachicoruiz/status/1243666403573608450
2020-03-27 22:15:05,elpachicoruiz,,0,45,7,"27Mar Feliz y Bendecida Tarde Con Mucha Disciplina Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @AndryRivero20D @ladysuarez11",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @JoseS01104226 @AndryRivero20D @ladysuarez11,#EnBatallaHeroica,1243662856824016897,https://twitter.com/elpachicoruiz/status/1243662856824016897
2020-03-27 21:46:46,correodelsurcom,,0,2,0,"Se encuentra en aguas de #Panamá con 138 personas que tienen síntomas de gripe a bordo. De ese número, dos dieron positivo al covid-19. ",,,#Panam,1243655727333478411,https://twitter.com/correodelsurcom/status/1243655727333478411
2020-03-27 21:33:01,elpachicoruiz,,0,41,7,"27Mar Buenas Tardes EJÉRCITO DE PATRIOTAS Ya Sabes Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @JoseS01104226 @XhavyLage",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @JoseS01104226 @XhavyLage,#EnBatallaHeroica,1243652268500680704,https://twitter.com/elpachicoruiz/status/1243652268500680704
2020-03-27 21:14:20,elpachicoruiz,,0,89,12,"27Mar Buenas Tardes Hermanos UNIDAD LUCHA BATALLA Y VICTORIA Ya Sabes Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @JoseS01104226 @XhavyLage",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @JoseS01104226 @XhavyLage,#EnBatallaHeroica,1243647565435932673,https://twitter.com/elpachicoruiz/status/1243647565435932673
2020-03-27 20:24:34,elpachicoruiz,,1,124,25,"27Mar Buenos Días EJÉRCITO DE PATRIOTAS Ya Sabes Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @AndryRivero20D @JoseS01104226",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @AndryRivero20D @JoseS01104226,#EnBatallaHeroica,1243635042842271745,https://twitter.com/elpachicoruiz/status/1243635042842271745
2020-03-27 20:17:03,CharlieCardozo,correodelsurcom,0,0,0,"Oruro departamento ejemplo donde la propagación del Covid 19 esta siendo controlada gracias al accionar de la municipalidad de Oruro. Nivel Central con todo sus recursos solo se impone sobre las autoridadea locales y se refugia en su monopolio de la violencia, policia y militares ",,,,1243633150049357826,https://twitter.com/CharlieCardozo/status/1243633150049357826
2020-03-27 20:10:12,elpachicoruiz,,0,50,9,"27Mar Buenos Días, a todos los Tuiteros Activos Ya Sabes Quedarse en Casa y Tomar las Previsiones Contra el COVID19 #EnBatallaHeroica @NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @AndryRivero20D @JoseS01104226",,@NicolasMaduro @elpachicoruiz @amelia74698445 @Danny99953332 @Leovimildo @L15261221 @Liliana60330285 @AndryRivero20D @JoseS01104226,#EnBatallaHeroica,1243631426039406593,https://twitter.com/elpachicoruiz/status/1243631426039406593
