date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-19 22:47:31,josu_ishere,,0,0,13,"Estoy harto y frustrado de los comunicados ambiguos que no dan pautas claras de cómo proceder. Piensen en la salud mental de lxs estudiantes que ya estamos alarmadxs por nuestras familias y la situación del COVID19 y frustradxs por un despiche de semestre.",,,,1240771912965464064,https://twitter.com/josu_ishere/status/1240771912965464064
2020-03-19 21:20:03,allanmadrizcr,,0,0,0,"Así están ubicados l@s diputad@s en el Plenario Legislativo, debido a la alerta del COVID-19. ",,,,1240749902247976965,https://twitter.com/allanmadrizcr/status/1240749902247976965
2020-03-19 21:16:41,paolavegar,,4,3,21,"Desde la Asamblea Legislativa estamos trabajando en las medidas necesarias para que el impacto del #COVID-19 tenga las menores implicaciones en la economía del país. Por favor sigan las indicaciones del Ministerio de Salud al pie de la letra.",,,#COVID,1240749054495203328,https://twitter.com/paolavegar/status/1240749054495203328
2020-03-19 21:09:04,denisemora,,0,3,5,"Nueva disposición de curules en @asambleacr, esto como parte de las medidas preventivas. #COVID19 ",,@asambleacr,#COVID19,1240747138734272516,https://twitter.com/denisemora/status/1240747138734272516
2020-03-19 18:14:46,denisemora,,0,0,0,"#Enestemomento Presiente de @asambleacr, @CRBenavidesJ se reúne con los jefes de Fracción para anunciarles las medidas que se están tomando en el Congreso por la crisis sanitaria que genera el #COVID19 ",,@asambleacr @CRBenavidesJ,#Enestemomento #COVID19,1240703276007354368,https://twitter.com/denisemora/status/1240703276007354368
2020-03-19 17:09:00,Natiirjz,,0,0,0,"En 4 minutos se acabó el alcohol que está vendiendo la Fanal en la página http://crpreviene.com. 4 MINUTOS #fanal #COVID19 #CostaRica",,,#fanal #COVID19 #CostaRica,1240686724511985669,https://twitter.com/Natiirjz/status/1240686724511985669
2020-03-19 14:22:51,molot69,,0,0,0,"Día 8 Cuarentena #coronavirus #socialdistancing #covid_19 #greenday #workfromhome en Costa Rica https://www.instagram.com/p/B96xy1IH7RQ/?igshid=3pz1vtjwdfsf",,,#coronavirus #socialdistancing #covid_19 #greenday #workfromhome,1240644909897527298,https://twitter.com/molot69/status/1240644909897527298
2020-03-19 14:02:39,Mujeres_PLN,opsoms,0,0,1,"Más información sobre el COVID-19 para prevenir ",,,,1240639829408391173,https://twitter.com/Mujeres_PLN/status/1240639829408391173
2020-03-19 13:01:12,evesanchezg28,TicoTrafico,10,0,8,"@Telenoticias7 @msaludcr @CCSSdeCostaRica @Maluavi atención a la irresponsabilidad de personas como ella. #COVID19 #QuedateEnCasa",,@Telenoticias7 @msaludcr @CCSSdeCostaRica @Maluavi,#COVID19 #QuedateEnCasa,1240624363826810881,https://twitter.com/evesanchezg28/status/1240624363826810881
2020-03-19 03:54:02,_joshvs,,1,0,3,"Hay gente mandando una cadena en IG para ganar seguidores y mencionan una unión por el #Covid_19 es en serio ????",,,#Covid_19,1240486663165489159,https://twitter.com/_joshvs/status/1240486663165489159
