date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-19 23:52:22,yandunfreddy,,0,2,3," Comité Operativo de Emergencias de Quito 5ta sesión, con todas sus autoridades locales y delegados de instituciones zonales | Seguimos trabajando por la ciudad #Quito | Emergencia #COVID19 #QuedateEnCasa @coequito",,@coequito,#Quito #COVID19 #QuedateEnCasa,1240788235699224579,https://twitter.com/yandunfreddy/status/1240788235699224579
2020-03-19 23:40:10,mabelen_c,zchagoya,1,4,6,"Son nuestros comportamientos los que definen el qué hacer y cómo hacer ante esta situación pero se visibiliza la falta de conciencia en nuestra sociedad. ##DialogusCI #Covid_19",,,#DialogusCI #Covid_19,1240785162390179841,https://twitter.com/mabelen_c/status/1240785162390179841
2020-03-19 23:35:14,LuSuarez1986,cristianviterin,0,0,1,"260 casos confirmados de COVID - 19. Por favor, hermanos ecuatorianos, la resposabilidad de detener el contagio depende sólo de nosotros. #yo_me_quedo_en_casa #Ecuador_emergencia_sanitaria",,,#yo_me_quedo_en_casa #Ecuador_emergencia_sanitaria,1240783920700043264,https://twitter.com/LuSuarez1986/status/1240783920700043264
2020-03-19 23:27:13,mabelen_c,nataliasara2,1,0,3,"Sin duda a otro virus al que nos enfrentamos es de la desinformación, información incompleta-confusa y/o fake news #DialogusCI #covid19",,,#DialogusCI #covid19,1240781906876280834,https://twitter.com/mabelen_c/status/1240781906876280834
2020-03-19 23:22:06,mabelen_c,nataliasara2,1,1,4,"Saludos @nataliasara2, cuales considera son los retos que nos plantea esta crisis? #DialogusCI #Covid_19",,@nataliasara2,#DialogusCI #Covid_19,1240780615957520387,https://twitter.com/mabelen_c/status/1240780615957520387
2020-03-19 23:21:37,taninarte,wilfridolaz,0,0,0,"Atención @CynthiaViteri6 gracias por su oportuna y rápida solución para estas personas #Guayaquil #Covid_19 #Ecuador",,@CynthiaViteri6,#Guayaquil #Covid_19 #Ecuador,1240780496570912768,https://twitter.com/taninarte/status/1240780496570912768
2020-03-19 23:20:59,WilsonMerinoR,,0,18,36,"Para ser fuertes contra el #Covid_19 tenemos que estar juntos. Inscríbete como #VoluntarioVirtual y colabora desde tu casa. http://bit.ly/2WgTdqp #QuédateEnLaCasa",,,#Covid_19 #VoluntarioVirtual #Qu,1240780336080044037,https://twitter.com/WilsonMerinoR/status/1240780336080044037
2020-03-19 22:43:21,Salud_CZ9,,0,6,9,"#Quito| Personal del centro de salud Llano Chico Distrito 17D02 atiende a la Comunidad con síntomas respiratorios, cumpliendo con medidas de Bioseguridad y prevención, reforzando el correcto #LavadoDeManos para prevenir el #COVID19 #PrevencionEsSalud #QuedateEnCasa",,,#Quito #LavadoDeManos #COVID19 #PrevencionEsSalud #QuedateEnCasa,1240770864443994114,https://twitter.com/Salud_CZ9/status/1240770864443994114
2020-03-19 22:41:44,ChecheCamp,,0,3,3,"#NoMeBotesNoContagio Le pedimos a los medios de comunicación que sean más responsables con los contenidos. No necesitamos abandonos, necesitamos que nos ayuden a protegerlos. La @opsoms dice que no hay evidencia alguna que perros y gatos se contagien de #Covid_19 y lo transmitan. ",,@opsoms,#NoMeBotesNoContagio #Covid_19,1240770459408490497,https://twitter.com/ChecheCamp/status/1240770459408490497
2020-03-19 22:40:27,Salud_CZ9,,0,8,10,"#Quito|| En el centro de salud Colinas del Norte Distrito 17D03 se brinda atención oportuna para pacientes con síntomas respiratorios y se mantienen activas las charlas educativas y preventiva en base al #COVID19 y el correcto #LavadoDeManos #QuédateEnCasa #SaludParaTodos",,,#Quito #COVID19 #LavadoDeManos #Qu #SaludParaTodos,1240770136845549568,https://twitter.com/Salud_CZ9/status/1240770136845549568
2020-03-19 22:40:15,ChecheCamp,,0,1,0,"#NoMeBotesNoContagio Le pedimos a los medios de comunicación que sean más responsables con los contenidos. No necesitamos abandonos, necesitamos que nos ayuden a protegerlos. La @opsoms dice que no hay evidencia alguna que perros y gatos se contagien de #Covid_19 y lo transmitan. ",,@opsoms,#NoMeBotesNoContagio #Covid_19,1240770087063347202,https://twitter.com/ChecheCamp/status/1240770087063347202
2020-03-19 22:39:28,ChecheCamp,,0,2,1,"#NoMeBotesNoContagio Le pedimos a los medios de comunicación que sean más responsables con los contenidos. No necesitamos abandonos, necesitamos que nos ayuden a protegerlos. La @opsoms dice que no hay evidencia alguna que perros y gatos se contagien de #Covid_19 y lo transmitan. ",,@opsoms,#NoMeBotesNoContagio #Covid_19,1240769889037664258,https://twitter.com/ChecheCamp/status/1240769889037664258
2020-03-19 22:38:43,ChecheCamp,,0,3,2,"#NoMeBotesNoContagio Le pedimos a los medios de comunicación que sean más responsables con los contenidos. No necesitamos abandonos, necesitamos que nos ayuden a protegerlos. La @opsoms dice que no hay evidencia alguna que perros y gatos se contagien de #Covid_19 ",,@opsoms,#NoMeBotesNoContagio #Covid_19,1240769698326818816,https://twitter.com/ChecheCamp/status/1240769698326818816
2020-03-19 22:37:38,ChecheCamp,,0,5,3,"#NoMeBotesNoContagio La OMS indica que no hay evidencias científicas de que los animales padezcan el Covid-19 ni que lo puedan transmitir. #NoMeBotesNoContagio",,,#NoMeBotesNoContagio #NoMeBotesNoContagio,1240769426221383681,https://twitter.com/ChecheCamp/status/1240769426221383681
2020-03-19 22:36:43,ChecheCamp,,0,6,3,"#NoMeBotesNoContagio La OMS indica que no hay evidencias científicas de que los animales padezcan el Covid-19 ni que lo puedan transmitir. #NoMeBotesNoContagio @LoroHomero @PanasJorgeYunda @AnimalGuar @MartaEstebanM",,@LoroHomero @PanasJorgeYunda @AnimalGuar @MartaEstebanM,#NoMeBotesNoContagio #NoMeBotesNoContagio,1240769196738392066,https://twitter.com/ChecheCamp/status/1240769196738392066
2020-03-19 22:34:10,ursureyesgiler,,0,2,1,"#NoMeBotesNoContagio No abandones a tus perros y gatos, ellos NO transmiten el #Covid_19 Aprovecha este tiempo en casa para pasar tiempo de calidad con ellos. #COVID19Ecuador",,,#NoMeBotesNoContagio #Covid_19 #COVID19Ecuador,1240768554091380740,https://twitter.com/ursureyesgiler/status/1240768554091380740
2020-03-19 22:28:08,topicster,topicster,0,0,1," Infografía EN AUSENCIA DE UNA VACUNA PARA EL CORONAVIRUS, ¿QUÉ PASARÍA EN UN FUTURO NO TAN LEJANO? Basado en el último reporte #COVID19 de @imperialcollege que forzó a EEUU y a UK a tomar acciones. Por @paolasaenzc, @ZulmaCucunuba, y @Latamsoc.",,@imperialcollege @paolasaenzc @ZulmaCucunuba @Latamsoc,#COVID19,1240767038420914176,https://twitter.com/topicster/status/1240767038420914176
2020-03-19 22:28:03,ursureyesgiler,,0,3,1,"#NoMeBotesNoContagio No abandones a tus perros y gatos, ellos NO transmiten el #Covid_19 Aprovecha este tiempo en casa para pasar tiempo de calidad con ellos. #COVID19Ecuador",,,#NoMeBotesNoContagio #Covid_19 #COVID19Ecuador,1240767016904069123,https://twitter.com/ursureyesgiler/status/1240767016904069123
