date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-19 23:59:13,SAMIX_Oficial,,0,5,2,"#EstadosUnidos: El Presidente Trump aprueba el uso de medicamentos utilizados en casos de Malaria como ensayo clínico para el #COVID19. La embajada Americana anunció la manera de aplicar para una extensión de estadía en Estados Unidos. #INFOCOVID19 #RealidadAnteTodo",,,#EstadosUnidos #COVID19 #INFOCOVID19 #RealidadAnteTodo,1240789957020733442,https://twitter.com/SAMIX_Oficial/status/1240789957020733442
2020-03-19 23:49:31,Henry_Colocho19,,1,1,2,"@Alcaldia_Apopa en la colonia Santa Teresa me informan que se necesita con urgencia la recolección de desechos solidos que se a acumulado cerca del centro escolar para ayudar a mantener limpia dicha colonia y así evitar que además del Covid-19 pueda surgir otras enfermedades",,@Alcaldia_Apopa,,1240787516409724928,https://twitter.com/Henry_Colocho19/status/1240787516409724928
2020-03-19 23:48:04,ElTalJorge,,0,1,1,"Una lástima,vuelvo a decirlo,que el #COVID19 no se acaba el NARCISISMO y el DRAMA de algunos. Cansa darle BLOCK a tanto payaso. – at Colonia Costa Rica",,,#COVID19,1240787153615011847,https://twitter.com/ElTalJorge/status/1240787153615011847
2020-03-19 22:00:01,amespinozasv,,0,0,0,"@Nayibukele_Sv @MedioAmbienteSV @minsalud esto seria de mucha utilidad para mantener el surveillance del COVID19. http://dhis2.org/covid-19 http://covid.dhis2.org/demo Bendiciones",,@Nayibukele_Sv @MedioAmbienteSV @minsalud,,1240759960067284992,https://twitter.com/amespinozasv/status/1240759960067284992
2020-03-19 21:26:16,iJessWall,,3,6,53,"Esta mañana me di cuenta de una alta traición por parte de una de las doctoras que debían aportar en la lucha del COVID-19. Qué triste y egoísta fue la Dra de Vianna.",,,,1240751468724006914,https://twitter.com/iJessWall/status/1240751468724006914
2020-03-19 20:44:51,Promusica_sv,,1,5,7,"En esta situación lo mejor que podemos decir y que seguramente ya estás aburrido de escuchar es #QuedateEnCasa Pero es la única forma de prevenir la propagación del virus. #COVID19 Entre más nos protegemos pronto podremos volver a disfrutar de lo que más nos gusta hacer. ",,,#QuedateEnCasa #COVID19,1240741043324235789,https://twitter.com/Promusica_sv/status/1240741043324235789
2020-03-19 20:27:46,alcaldiadecolon,,0,0,3,"Ante la emergencia nacional por el coronavirus #COVID19 este día nuestro equipo de trabajo iniciará un protocolo de sanitización de espacios públicos donde se concentren o se concentraron grupos de personas, como mercado, unidad de salud distritos municipales, etc. ",,,#COVID19,1240736743747473408,https://twitter.com/alcaldiadecolon/status/1240736743747473408
2020-03-19 19:46:24,EnLaMira_Sv,,0,0,0,"#Nacionales // La PNC montón un retén en la calle de acceso a Ahuchapalán para evitar propagación de COVID19 ",,,#Nacionales,1240726336769007616,https://twitter.com/EnLaMira_Sv/status/1240726336769007616
2020-03-19 19:44:11,EnLaMira_Sv,,0,1,3,"#Nacionales // Con los casos de COVID19 en Nicaragua y El Salvador, el virus ya esta presente en toda América Latina excepto Haití ",,,#Nacionales,1240725775537627136,https://twitter.com/EnLaMira_Sv/status/1240725775537627136
2020-03-19 19:41:21,beajolie38,,0,0,2," Presidente @nayibbukele informa que hoy a las 7:30 de la noche dará a conocer los resultados de 91 pruebas de #Covid19 de estos 3 casos presentan síntomas. ",,@nayibbukele,#Covid19,1240725064485568518,https://twitter.com/beajolie38/status/1240725064485568518
2020-03-19 19:31:10,SAMIX_Oficial,,1,6,9,"Las autoridades de salud nos traen una buena noticia sobre el paciente cero de #COVID19 en El Salvador! #INFOCOVID19 #RealidadAnteTodo",,,#COVID19 #INFOCOVID19 #RealidadAnteTodo,1240722502176866307,https://twitter.com/SAMIX_Oficial/status/1240722502176866307
2020-03-19 19:30:08,1969Ostorga,karen0887,0,0,0,"No lo dudes karen despues aparecera con covid 19",,,,1240722243061264384,https://twitter.com/1969Ostorga/status/1240722243061264384
2020-03-19 19:23:01,nefrorantes,,0,0,3,"“El #Covid19 es un Tomógrafo Social”",,,#Covid19,1240720451665629185,https://twitter.com/nefrorantes/status/1240720451665629185
2020-03-19 19:22:41,EnLaMira_Sv,,0,4,4,"#Nacionales // Metapan, Texistepeque y Chalchuapa toman medidas para prevenir contagio de COVID19 ",,,#Nacionales,1240720367125245955,https://twitter.com/EnLaMira_Sv/status/1240720367125245955
2020-03-19 19:12:01,EnLaMira_Sv,,0,0,1,"#Nacionales // Ministro de Hacienda informó sobre el apoyo aue brindará el Gobierno a losnafectados economicamente por el COVID19 ",,,#Nacionales,1240717680237096960,https://twitter.com/EnLaMira_Sv/status/1240717680237096960
2020-03-19 19:06:56,EnLaMira_Sv,,0,0,1,"#Nacionales // Alcadia capitalina esta colaborando para para evitar propagación del COVID19 en el gran San Salvador ",,,#Nacionales,1240716404397166594,https://twitter.com/EnLaMira_Sv/status/1240716404397166594
2020-03-19 18:53:17,beajolie38,,0,1,3,"#Coronavirus: con los casos de covid-19 en #Nicaragua y #ElSalvador, el virus ya está presente en toda América Latina excepto Haití ",,,#Coronavirus #Nicaragua #ElSalvador,1240712969450749952,https://twitter.com/beajolie38/status/1240712969450749952
