date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-19 16:22:14,alex_ga21,,0,0,8,"No salgan de casa, cuidemos a nuestra familia. Me gustaría estar descansando pero no puedo #COVID19 #HondurasQuedateEnCasa – at Hospital Maria - Especialidades Pediatricas",,,#COVID19 #HondurasQuedateEnCasa,1240674955643236357,https://twitter.com/alex_ga21/status/1240674955643236357
2020-03-19 04:39:00,Angel_Tabora,,0,0,1,"Aquí tomándome el buen te anti-covid- 19 #quedateencasa #bendiciones #familia #quédateencasa #nosalgas #covid_19 #musiclove #lovefamily #diosesamor #honduras #coronavirushonduras en Tegucigalpa, Honduras https://www.instagram.com/p/B95vCCbnDus/?igshid=194gtogz53yr0",,,#quedateencasa #bendiciones #familia #qu #nosalgas #covid_19 #musiclove #lovefamily #diosesamor #honduras #coronavirushonduras,1240497981754871809,https://twitter.com/Angel_Tabora/status/1240497981754871809
2020-03-18 07:17:03,omarsolersurg,,8,8,66,"Emergencia de Cirugía - Hospital Escuela, 4 residentes de cirugía sin protección contra el #COVID19 Estamos aquí por Honduras. Quédate en casa porque nosotros no podemos. #Honduras #quedateencasa #cirugia #residents #surgery – at Hospital Escuela",,,#COVID19 #Honduras #quedateencasa #cirugia #residents #surgery,1240175367878586368,https://twitter.com/omarsolersurg/status/1240175367878586368
2020-03-18 02:39:29,Angel_Tabora,,0,0,0,"Hey familia a seguir indicaciones todos somos parte de esta lucha recuerda no salgas a menos que sea una emergencia #bendiciones #familia #quédateencasa #nosalgas #covid_19 #musiclove #lovefamily #diosesamor … https://www.instagram.com/p/B928jw6nRIL/?igshid=a2grcnd5wvmd",,,#bendiciones #familia #qu #nosalgas #covid_19 #musiclove #lovefamily #diosesamor,1240105517080612875,https://twitter.com/Angel_Tabora/status/1240105517080612875
2020-03-18 02:35:55,Angel_Tabora,,0,1,0,"Hey familia a seguir indicaciones todos somos parte de esta lucha recuerda no salgas a menos que sea una emergencia #bendiciones #familia #quédateencasa #nosalgas #covid_19 #musiclove #lovefamily #diosesamor … https://www.instagram.com/p/B928JnmnFLt/?igshid=1s2mub1tl4xpj",,,#bendiciones #familia #qu #nosalgas #covid_19 #musiclove #lovefamily #diosesamor,1240104618128035840,https://twitter.com/Angel_Tabora/status/1240104618128035840
2020-03-17 23:18:36,Yavi_xini,,0,0,0,"Ante el encierro me hacia falta una bocina, para trabajar en casa y escuchar buena música En el resto del mundo, porque en México no existe el #covid_19 #mexicanosenelextranjero #mexicocultural #quedateencasa… https://www.instagram.com/p/B92lkWsHnc2/?igshid=1ggv2qik8srez",,,#covid_19 #mexicanosenelextranjero #mexicocultural #quedateencasa,1240054961146335232,https://twitter.com/Yavi_xini/status/1240054961146335232
2020-03-16 15:32:10,ColAbogHN,,0,0,3,"#CAH informa a sus agremiados que debido a las disposiciones establecidas por el Gobierno de la República de Honduras, se suma a la prevención ante la crisis mundial por el COVID_19, por lo que nuestras instalaciones y áreas sociales a nivel Nacional permanecerán cerradas. – at Colegio de Abogados de Honduras",,,#CAH,1239575190171987974,https://twitter.com/ColAbogHN/status/1239575190171987974
2020-03-16 04:07:32,CarwashElPaso,,0,0,0,"Es importante seguir instrucciones para reducir riesgos de contagio por #covid_19 en el . #carwashelpaso #carwash @Tegucigalpa, Honduras https://www.instagram.com/p/B9x9CytH0rM/?igshid=u21ygf8ws8uc",,,#covid_19 #carwashelpaso #carwash,1239402895889571845,https://twitter.com/CarwashElPaso/status/1239402895889571845
2020-03-15 19:31:14,AvesdeHonduras,,0,1,1,"Durante las restricciones y normativas que se han establecido a nivel nacional para evitar el COVID-19, observar aves es una actividad sana que todavía puede realizarse, siempre y cuando, evitemos aglomeraciones de… https://www.instagram.com/p/B9xB9RrnRAd/?igshid=15vd97jysrguh",,,,1239272965914705920,https://twitter.com/AvesdeHonduras/status/1239272965914705920
2020-03-14 19:23:02,Angel_Tabora,,0,0,0,"Confiemos en el señor y usemos la inteligencia que Dios nos dio para prevenir. #bendiciones #covid19 #coronavirus #Diosesmas #lovemusic #lovefamily #music #salud #confiaendios #diosesamor en Tegucigalpa, Honduras https://www.instagram.com/p/B9ucOdVHpwx/?igshid=1ufbz6xbgzucr",,,#bendiciones #covid19 #coronavirus #Diosesmas #lovemusic #lovefamily #music #salud #confiaendios #diosesamor,1238908514422177794,https://twitter.com/Angel_Tabora/status/1238908514422177794
2020-03-14 03:51:28,conviviendahn,,0,0,0,"partir de Miércoles 11 de Marzo los Comisionados de CONVIVIENDA presididos por el Ing Sergio Amaya nombraron una Comisión Interna Institucional para establecer una Estrategia contra el Coronavirus COVID-19, que esta… https://www.instagram.com/p/B9sxnPnnvnK/?igshid=mafzx01oduma",,,,1238674077352693760,https://twitter.com/conviviendahn/status/1238674077352693760
2020-03-13 06:23:00,Martinezrandres,,0,0,0,"Declaración de los Jefes de Estado y de Gobierno de Belize, Costa Rica, Guatemala, Honduras, Nicaragua, Panamá y República Dominicana ante la pandemia del #Covid19 en Tegucigalpa, Honduras https://www.instagram.com/p/B9qeKVtHPSy/?igshid=1xarqw7rgq0iz",,,#Covid19,1238349826095337472,https://twitter.com/Martinezrandres/status/1238349826095337472
2020-03-12 22:04:50,ColAbogHN,,0,1,4,"El Colegio de Abogados de Honduras informa a todos sus agremiados la importancia de las medidas preventivas que debemos de seguir ante la emergencia del virus Covid 19. – at Colegio de Abogados de Honduras",,,,1238224458206318604,https://twitter.com/ColAbogHN/status/1238224458206318604
2020-03-12 21:42:19,ColAbogHN,,0,0,2,"El Colegio de Abogados de Honduras informa a todos sus agremiados la importancia de las medidas preventivas que debemos de seguir ante la emergencia del virus Covid 19 – at Colegio de Abogados de Honduras",,,,1238218792599203842,https://twitter.com/ColAbogHN/status/1238218792599203842
2020-03-11 14:13:05,rosorto,,0,0,1,"Covid 19 en Tegucigalpa, Honduras https://www.instagram.com/p/B9mKXpNnGxFG8PGmrqoc1v6LqfVwTf3ORRGsgE0/?igshid=1ou54qbuvv6ux",,,,1237743351392329733,https://twitter.com/rosorto/status/1237743351392329733
