date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-18 23:33:30,PumbaVD1,,0,0,0,"@denmota Nuestra Campaña Antifake en Español: https://youtu.be/NVgkolv67A4 Versión en Guaraní: https://youtu.be/jfOQmGwstxo #CampañaAntiFake #COVID19 #NoticiasVD1",,@denmota,#Campa #COVID19 #NoticiasVD1,1240421097549545472,https://twitter.com/PumbaVD1/status/1240421097549545472
2020-03-18 23:33:01,rnpy920am,,0,2,0,"@fdominguezpy, Director Financiero de @itaipuparaguay en #ParaguayPuede, destacó que el Directorio Ejecutivo de Itaipú Binacional de ambas márgenes, aprobó G. 40 mil millones para combatir pandemia de #COVID19, de los cuales G. 20 mil millones para el @msaludpy.",,@fdominguezpy @itaipuparaguay @msaludpy,#ParaguayPuede #COVID19,1240420977848320000,https://twitter.com/rnpy920am/status/1240420977848320000
2020-03-18 23:32:26,C9NParaguay,,1,2,7," Esta noche en #PuntosDeVista con @granadacarlos hablamos sobre : #COVID19 : La importancia de la salud física y mental. Mariam Letizia Piñanez- psicologa. ¡Acompañanos #ENVIVO! http://www.c9n.com.py/envivo",,@granadacarlos,#PuntosDeVista #COVID19 #ENVIVO,1240420830301114369,https://twitter.com/C9NParaguay/status/1240420830301114369
2020-03-18 23:13:00,Yiyopaezpy,Ale_Peralta91,0,0,2,"De la quiebra nos recuperamos campeón. Del #COVID19 no sabemos si podremos safar.",,,#COVID19,1240415939474206725,https://twitter.com/Yiyopaezpy/status/1240415939474206725
2020-03-18 23:08:11,IsasiMara,,0,0,4,"Yo amo viajar pero esta gente que en plena pandemia viaja por placer y luego regresa y no se aísla cómo debe ser y encima se pasea como si nada y después había sido feroz #COVID19 positivo, tienen mierda cómo cerebro y se merecen morir sin respirador #QuedateEnTuCasaCarajo",,,#COVID19 #QuedateEnTuCasaCarajo,1240414726858948614,https://twitter.com/IsasiMara/status/1240414726858948614
2020-03-18 23:06:00,shirstk,COVID19_ES,0,0,6,"Paraguay actualiza a las 21:00",,,,1240414179703521280,https://twitter.com/shirstk/status/1240414179703521280
2020-03-18 22:32:55,A7kceres,,0,0,0,"Tiempos del COVID-19 ",,,,1240405853011939328,https://twitter.com/A7kceres/status/1240405853011939328
2020-03-18 22:19:55,evcrojas,,0,0,0,"Bolsonaro insiste con histeria por Covid-19 y lo compara con un embarazo https://www.ultimahora.com/c2875586 vía @ultimahoracom",,@UltimaHoracom,,1240402581417066507,https://twitter.com/evcrojas/status/1240402581417066507
2020-03-18 22:06:14,rnpy920am,,0,4,6,"#Internacionales @opsoms comienza las primeras pruebas de la vacuna contra el #COVID19. Leé más http://bit.ly/390VFUH",,@opsoms,#Internacionales #COVID19,1240399136404447233,https://twitter.com/rnpy920am/status/1240399136404447233
2020-03-18 21:53:51,ChauCorruptosPY,,0,14,26,"Éste es el panorama que se vive #Ahora sobre la icónica calle Palma de #Asunción. (@Universo970py de fondo) #CuarentenaNacional #CoronavirusPy #Covid19 ",,@Universo970py,#Ahora #Asunci #CuarentenaNacional #CoronavirusPy #Covid19,1240396021601054721,https://twitter.com/ChauCorruptosPY/status/1240396021601054721
2020-03-18 21:07:19,andreunchi,Santula,2,6,10,"DELIVERY o bien PARA PASAR A BUSCAR. Ayúdanos a hacerle frente al Covid-19 para que en poco tiempo puedas volver a disfrutar del local. #quédateEnCasa #SecomeRicoigual #CopetinDieguito Números para delivery (0982110618). (021) 370.930 barrio obrero Asunción – at Copetin Dieguito",,,#qu #SecomeRicoigual #CopetinDieguito,1240384310483525634,https://twitter.com/andreunchi/status/1240384310483525634
2020-03-18 20:55:23,JuanSebasCabral,,1,13,9,"#AHORA Bolsonaro entrando en su culo, parte 1. Solicitará al Congreso de Brasil la declaración de estado de Calamidad debido al aumento de casos positivos de #Covid19. Apenas esta mañana el pelotudo decía que el Coronavirus es producto de la histeria de los medios de comunicación ",,,#AHORA #Covid19,1240381309165473803,https://twitter.com/JuanSebasCabral/status/1240381309165473803
2020-03-18 20:40:06,SilverTijera,AInterseccional,0,0,1,"Ya controlaron pues !",,,,1240377461940146178,https://twitter.com/SilverTijera/status/1240377461940146178
2020-03-18 20:33:27,evcrojas,,0,0,0,"COVID-19: plantean contingencia y endeudamiento de US$1.000 millones https://www.abc.com.py/nacionales/2020/03/18/covid-19-plantean-contingencia-y-endeudamiento-de-us-1000-millones/ vía @ABCDigital",,@ABCDigital,,1240375787783626753,https://twitter.com/evcrojas/status/1240375787783626753
2020-03-18 20:18:43,venusmedia,,0,5,13," Parte del mensaje del presidente Mario Abdo Benítez, esta tarde durante una conferencia de prensa, en donde abarcó temas como la reasignación de recursos, la postergación de impuestos y el uso de los fondos de royalties destinados a municipalidades. #coronavirus #covid19 ",,,#coronavirus #covid19,1240372078714531840,https://twitter.com/venusmedia/status/1240372078714531840
2020-03-18 20:10:30,vivi_ocampos,,17,966,1764,"Mi papá entró a terapia el 6 de febrero en un conocido sanatorio de Asunción. ¿Saben cuántos boxes de terapia intensiva había? SEIS Vivir eso de cerca hace que hoy me cuide y le cuide tanto, si tenemos COVID-19 tendremos que PELEAR por camas en la UTI. NO HAY CAPACIDAD NO JODAN",,,,1240370010800914432,https://twitter.com/vivi_ocampos/status/1240370010800914432
2020-03-18 19:55:11,rnpy920am,,0,0,5,"#Nacionales Autoridades del @mercosur trabajarán en el control de fronteras para evitar que el #COVID19 siga expandiéndose. Leé más http://bit.ly/2U2J1Ap",,@mercosur,#Nacionales #COVID19,1240366156655079426,https://twitter.com/rnpy920am/status/1240366156655079426
2020-03-18 19:53:24,SilviaMorimoto,,0,11,13," @pnud se está asociando c/@WhatsApp @UNICEF @Poynter @factchecknet p/ofrecer información actualizada de @opsoms y de las autoridades locales de salud sobre #COVID19 a miles de millones de comunidades en los alrededores Verifique http://whatsapp.com/coronavirus @PNUDPARAGUAY",,@pnud @WhatsApp @UNICEF @Poynter @factchecknet @opsoms @PNUDPARAGUAY,#COVID19,1240365709374472192,https://twitter.com/SilviaMorimoto/status/1240365709374472192
2020-03-18 19:53:21,GiuliTuritich,,1,1,1,"Y qué tal son las noticias en tu país?? Para reírnos nomás, xq realmente es para aplaudir lo bien que están haciendo las cosas!! . En serio demasiado cuesta, pero tenemos que seguir procurando todos!! . . . . . #cuarentena #dia8 #paraguay #news #covid_19 ",,,#cuarentena #dia8 #paraguay #news #covid_19,1240365696401510400,https://twitter.com/GiuliTuritich/status/1240365696401510400
2020-03-18 19:34:38,AnuGossen,,1,3,8,"El rol del Estado es clave para lograr contener la propagación del virus y sus consecuencias. Hoy nuestra fe y esperanza se deposita en las Instituciones. En esa misma línea no se les puede permitir a los Laboratorios privados lucrar con los test del #COVID19 !!!",,,#COVID19,1240360985057255430,https://twitter.com/AnuGossen/status/1240360985057255430
2020-03-18 19:24:04,SusanParadeda,,3,19,49,"#AHORA El Presidente @MaritoAbdo anunció medidas económicas que se tomaron hoy ante #COVID19 - 50% del presupuesto programado se reasigna para recursos de salud",,@MaritoAbdo,#AHORA #COVID19,1240358327193948160,https://twitter.com/SusanParadeda/status/1240358327193948160
2020-03-18 18:42:39,rnpy920am,,1,0,2,"Ministro de @MDN_PY, @SotoBernardino_ en #ParaguayPuede. FFAA, no salen a cazar a la gente, sino que cooperan con la Policía para verificar, que se cumpla la medida del Gobierno para mitigar el #COVID19, que restringe la circulación de personas de 20 a 4.Hs. ",,@MDN_PY @SotoBernardino_,#ParaguayPuede #COVID19,1240347904847622147,https://twitter.com/rnpy920am/status/1240347904847622147
2020-03-18 18:11:56,rosavacchetta,,0,0,2,"5.734.000.000gs que pueden ser destinados al #FondoMunicipaldeEmergencia #Covid_19 con solo redireccionar rubros del presupuesto en la @AsuncionMuni y @juntasuncion",,@AsuncionMuni @juntasuncion,#FondoMunicipaldeEmergencia #Covid_19,1240340175860969472,https://twitter.com/rosavacchetta/status/1240340175860969472
2020-03-18 17:55:43,evcrojas,,0,0,0,"Covid-19: Cuatro detenidos por no respetar el horario restringido en Alto Paraná https://www.ultimahora.com/c2875523 vía @ultimahoracom",,@UltimaHoracom,,1240336092160765953,https://twitter.com/evcrojas/status/1240336092160765953
2020-03-18 17:55:37,mon_cabrera,ciclonico1980,0,0,0,"Es q creo q no es tanto así. Ahi en el articulo por ejemplo dice Chile tiene en stock 250.000 test y solicitaría más. Y no es q me voy yo a solicitar un test covid19 sino q más bien podrían realizar los análisis laboratorios privados extendiendo asi la capacidad de realización",,,,1240336065568931841,https://twitter.com/mon_cabrera/status/1240336065568931841
2020-03-18 17:47:41,arielgzg,,0,1,2,"Aquí les comparto el VIDEO en ABC TV Paraguay que si bien hablamos sobre cómo administrar la #Ansiedad y la #Angustia por la cuarenta del COVID19 - También hablamos de #Sexo -",,,#Ansiedad #Angustia #Sexo,1240334071542222848,https://twitter.com/arielgzg/status/1240334071542222848
2020-03-18 17:44:18,EmbajadaEcuPRY,,0,0,1," Muy importante este material referencial del Ministerio De Salud Publica Del Ecuador. Para tener en cuenta Protocolo para el aislamiento domiciliario en personas con sospecha de #COVID19 @CancilleriaEc #PrevencionEsSalud #ActivadosPorLaSalud",,@CancilleriaEc,#COVID19 #PrevencionEsSalud #ActivadosPorLaSalud,1240333221298155521,https://twitter.com/EmbajadaEcuPRY/status/1240333221298155521
