date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-18 23:53:27,WashiGarin,,0,0,3,"79 casos confirmados de #coronavirusuruguay #Covid_19 en Uruguay, no se que estan esperando para decretar la #CuarentenaNacional. @smuruguay ya advirtió que esto sucederia y se quiere anticipar a lo que ocurrio en España e Italia, pero seguimos esperando algun deceso.",,@smuruguay,#coronavirusuruguay #Covid_19 #CuarentenaNacional,1240426119423287296,https://twitter.com/WashiGarin/status/1240426119423287296
2020-03-18 23:48:09,Sclarens,,0,0,0,"#AHORA 79 casos de #Covid19 confirmados en Uruguay, informó el vocero presidencial, @apaponcedeleon. @TelenocheUy",,@apaponcedeleon @TelenocheUy,#AHORA #Covid19,1240424784636370945,https://twitter.com/Sclarens/status/1240424784636370945
2020-03-18 23:47:52,_PedrithoFCB_,,0,1,0,"No se sabe que es más peligroso, si el mismísimo COVID-19 o las decisiones de Duque. #ColombiaEnEmergencia #YoMeQuedoEnCasa #DuqueRenuncie #DuqueInepto",,,#ColombiaEnEmergencia #YoMeQuedoEnCasa #DuqueRenuncie #DuqueInepto,1240424714801238018,https://twitter.com/_PedrithoFCB_/status/1240424714801238018
2020-03-18 23:47:15,AlejandroChapp3,Daniel011965,1,1,5,"Agregaría: los políticos de todos los partidos donarán un 25% de sus ingresos, para que sean volcados a la lucha contra el Covid 19?",,,,1240424558886297602,https://twitter.com/AlejandroChapp3/status/1240424558886297602
2020-03-18 23:07:19,FranSaxlund,,0,5,9,"La fuerza joven y vibrante del @PartidoColorado, a disposición de la Nación. ¡Sumate a la lucha contra el #COVID19! Inscribite aquí: https://forms.gle/tKE6ndGcuzAeyZ6YA",,@PartidoColorado,#COVID19,1240414507878490113,https://twitter.com/FranSaxlund/status/1240414507878490113
2020-03-18 23:04:01,PabloSchiavi,BENGOCHEA_SB,0,0,0,"Fuerte caída de Bonos Uruguayos vía @BENGOCHEA_SB #COVID19 ",,@BENGOCHEA_SB,#COVID19,1240413678354272259,https://twitter.com/PabloSchiavi/status/1240413678354272259
2020-03-18 22:56:24,TabordaSeba,gera_nunez1001,0,0,0,"Me extraña que como DIPUTADO no sepas que es un Antiviral que sirve para el Coronavirus que no es nuevo sino q ya existe hace años, pero no sirve para esta cepa llamada Covid19. Un diputado mareando a la gente que pena y encima con mentiras ",,,,1240411763436380162,https://twitter.com/TabordaSeba/status/1240411763436380162
2020-03-18 22:54:52,Dale_Uruguay,,1,10,19,"Mensaje de nuestro candidato a Intendente en Florida. @g_lopezmendez alineado con las medidas de prevención establecidas por el Gobierno Nacional respecto al #COVID19. @PNACIONAL",,@g_lopezmendez @PNACIONAL,#COVID19,1240411377006718984,https://twitter.com/Dale_Uruguay/status/1240411377006718984
2020-03-18 22:30:17,Vivi_Piro,,0,0,0,"Coronavirus (Covid-19): una mirada desde la salud feminista https://ladiaria.com.uy/articulo/2020/3/coronavirus-covid-19-una-mirada-desde-la-salud-feminista/ vía @ladiaria",,@ladiaria,,1240405191662452739,https://twitter.com/Vivi_Piro/status/1240405191662452739
2020-03-18 22:27:19,gascossia,,0,3,8,"En el marco de la pandemia de COVID-19, la Organización Mundial de Sanidad Animal (OIE) y la Asociación Veterinaria Mundial (WVA) conjuntamente llaman la atención sobre los roles y responsabilidades de la profesión veterinaria para la Salud Pública como servicios esenciales. ",,,,1240404443813863425,https://twitter.com/gascossia/status/1240404443813863425
2020-03-18 22:16:20,sebasmar15,,0,0,1,"Con rsposnosabilidad y las precauciones del caso, asegurando la continuidad en la #SupplChain al pueblo para resistir y vencer al #CoronavirusEnUruguay #covid_19 en San Francisco C.I.S.A. https://www.instagram.com/p/B95DPMRFI7Y6hAV9Rsr9UYcd_fh-m4Vq57Ivcs0/?igshid=mmax9u13i2ja",,,#SupplChain #CoronavirusEnUruguay #covid_19,1240401678865743872,https://twitter.com/sebasmar15/status/1240401678865743872
2020-03-18 22:08:50,romanrique86,,0,0,0,"Todo el mundo habla de Carmela y como la cagó yendo al casamiento... Pero alguien se puso a pensar si fuera pobre y hubiera sido la trabajadora que hace los tapabocas?? Los primeros en caer eran los que nos salvan la vida.. #COVID19 #cuarentena #cuarentenaDia2",,,#COVID19 #cuarentena #cuarentenaDia2,1240399792326488070,https://twitter.com/romanrique86/status/1240399792326488070
2020-03-18 21:15:42,colegiomedicouy,,0,5,8,"Dr. @julvignolo Consejero Nacional del @colegiomedicouy e integrante del Comité de Crisis integrado por el @MSPUruguay y otras instituciones informando sobre la situación actual del #COVID19 en Uruguay. ",,@julvignolo @colegiomedicouy @MSPUruguay,#COVID19,1240386418976993287,https://twitter.com/colegiomedicouy/status/1240386418976993287
2020-03-18 21:13:14,valecastro1700,,0,0,1,"Amaría estar en la cuarentena sin necesidad de estudiar, pero no me estaría pasando. #coronavirusuruguay #coronavirus #Covid_19",,,#coronavirusuruguay #coronavirus #Covid_19,1240385798018600960,https://twitter.com/valecastro1700/status/1240385798018600960
2020-03-18 21:13:08,JosLuis19611,,2,0,1,"Alguien sabe si el vinagre o ácido acético diluido sirve para combatir al Covid 19?",,,,1240385776044724225,https://twitter.com/JosLuis19611/status/1240385776044724225
2020-03-18 21:11:40,PabloRR66,,0,0,2,"Pizarra público 18/03: 47.50 y contando el dólar #Covid_19 Luis Lacalle Pou autóctono. ",,,#Covid_19,1240385406887178241,https://twitter.com/PabloRR66/status/1240385406887178241
2020-03-18 20:57:54,marceriro,,0,0,1,"Hoy a las 22:00 hrs salgamos a las ventanas / balcones a dar un gran aplauso por los Científicos uruguayos que lograron desarrollar localmente el test para detectar coronavirus Gracias #covid19 #Uruguay #científicos",,,#covid19 #Uruguay #cient,1240381942719295488,https://twitter.com/marceriro/status/1240381942719295488
