date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-18 23:52:53,SamdicaCaracas,,0,0,0,"Disponibles para desinfectar nuestras casas y oficinas productos @diplica con los componentes químicos si actúan contras las #bacterias nos ayudan a prevenir el #coronavirus o #covid19… https://www.instagram.com/p/B95OSOnhS1p/?igshid=1whanqtij0n8p",,@Diplica,#bacterias #coronavirus #covid19,1240425975944556546,https://twitter.com/SamdicaCaracas/status/1240425975944556546
2020-03-18 23:52:22,1a40201f2898446,JulioBorges,0,0,0,"@JulioBorges si Venezuela es un país vulnerable al covid19,ES POR QUE UN MALDITO HIJO DE PUTA,COMO TU,PROMUEVE BLOQUEOS Y SANCIONES ECONÓMICAS CONTRA MI PAÍS,NO TUYO,MALDITO TRAIDOR,HAY QUE SER BIEN CARA DURA PARA HABLAR EN NOMBRE DE VENEZUELA,TE HAS ENRIQUECIDO DAÑANDO AL PAÍS ",,@JulioBorges,,1240425846416068615,https://twitter.com/1a40201f2898446/status/1240425846416068615
2020-03-18 23:49:33,jgcalatayud,,0,0,0,"#covid_19 y el impacto en las empresas #webcast link bio @pwc_venezuela en PwC Venezuela https://www.instagram.com/p/B95N53hn9Zzvolwz8c0vTKV-C-oLkrbjXn7jiM0/?igshid=nx0ytjarjoin",,@PwC_Venezuela,#covid_19 #webcast,1240425137108811781,https://twitter.com/jgcalatayud/status/1240425137108811781
2020-03-18 23:45:48,HaslerIglesias,,1,7,3,"Toda una nueva línea de investigación: Atencion de pandemias con enfoque de Derechos Humanos. #Venezuela será un caso de estudio de todo lo que NO se debe hacer. #COVID19 #CoronavirusEnVenezuela",,,#Venezuela #COVID19 #CoronavirusEnVenezuela,1240424196158693376,https://twitter.com/HaslerIglesias/status/1240424196158693376
2020-03-18 23:43:24,Intrepido221BX,Intrepido221BX,1,0,1,"3)@RonaldUgel en medicina medicina also positivo es el error que hay al encuentrar un signo (secreción nasal: ¿tendrá o no COVID-19?) o al hacer una prueba ( exámen) y su resultado indica hay enfermedad (positivo, ejemplo COVID-19) , pero en realidad la persona está sana. Mira ",,@RonaldUgel,,1240423592074059776,https://twitter.com/Intrepido221BX/status/1240423592074059776
2020-03-18 23:12:40,HaslerIglesias,,1,13,9,"Brasil no halló nuevos casos positivos de #COVID19 en los cuatro días siguientes a haber detectado el primero. Eso NO significa que se cortó la cadena de contagio. Hoy Brasil tiene 504 casos activos, 2 recuperados y 3 fallecidos. #CoronavirusEnVenezuela",,,#COVID19 #CoronavirusEnVenezuela,1240415857894924288,https://twitter.com/HaslerIglesias/status/1240415857894924288
2020-03-18 23:10:31,HaslerIglesias,,0,4,1,"A pesar de que hoy, #18M no se detectaron nuevos casos de #CoronavirusEnVenezuela, seguimos siendo el país de Suramérica con mayor número de casos detectados a los seis días de haber hallado el primero. #COVID19 ",,,#18M #CoronavirusEnVenezuela #COVID19,1240415316389306370,https://twitter.com/HaslerIglesias/status/1240415316389306370
2020-03-18 23:04:57,HugoR_Martinez,,2,6,5,"El CLAP llegó a las comunidades de #Guatire bajo las medidas sanitarias contra el #Covid_19 en Unión Cívico Militar para darle respuesta al pueblo. #LaPrevenciónEsLaClave @LealTelleria",,@LealTelleria,#Guatire #Covid_19 #LaPrevenci,1240413914724274176,https://twitter.com/HugoR_Martinez/status/1240413914724274176
2020-03-18 23:01:54,leonardoamg50,,0,0,0,"Hay mucha noticias falsas sobre COVID-19 y es bueno aclararlas ",,,,1240413147757977601,https://twitter.com/leonardoamg50/status/1240413147757977601
2020-03-18 23:00:30,SamdicaCaracas,,0,0,0,"Saludos a todos, disponible jabón líquido para manos @diplica con los componentes químicos que nos ayudan a prevenir el #coronavirus o #covid19… https://www.instagram.com/p/B95ISlRBRED/?igshid=k56n37ed12mu",,@Diplica,#coronavirus #covid19,1240412795977584640,https://twitter.com/SamdicaCaracas/status/1240412795977584640
2020-03-18 22:53:33,criptoeconlibre,,0,0,0," #covid19 no va a detener nuestro tiempo, estaremos desarrollando, codificando, evaluando, #smartcontracts , #oracles #sofia #dapps . Aun queda tiempo para que inscribas tu proyecto #blockchain y puedas dar a… https://www.instagram.com/p/B95Hf0WgxNH/?igshid=5lwj9wyus2um",,,#covid19 #smartcontracts #oracles #sofia #dapps #blockchain,1240411044775895045,https://twitter.com/criptoeconlibre/status/1240411044775895045
